location,time,cases,deaths
USA-IN-Delaware County,2020-03-21,1,1
USA-IN-Delaware County,2020-03-22,2,1
USA-IN-Delaware County,2020-03-23,3,1
USA-IN-Delaware County,2020-03-24,4,1
USA-IN-Delaware County,2020-03-25,7,1
USA-IN-Scott County,2020-03-22,1,1
USA-IN-Scott County,2020-03-23,1,1
USA-IN-Scott County,2020-03-24,1,1
USA-IN-Scott County,2020-03-25,1,1
USA-LA-St. Bernard Parish,2020-03-25,23,1
USA-LA-St. Charles Parish,2020-03-25,17,1
USA-LA-St. Tammany Parish,2020-03-24,52,1
USA-LA-St. Tammany Parish,2020-03-25,67,1
USA-CT-Hartford County,2020-03-22,54,1
USA-CT-Hartford County,2020-03-23,61,2
USA-CT-Hartford County,2020-03-24,88,2
USA-CT-Hartford County,2020-03-25,116,2
USA-CT-New Haven County,2020-03-25,127,2
USA-LA-St. John the Baptist Parish,2020-03-25,27,2
USA-LA-Calcasieu Parish,2020-03-24,5,1
USA-LA-Calcasieu Parish,2020-03-25,11,1
USA-LA-Iberville Parish,2020-03-24,14,1
USA-LA-Iberville Parish,2020-03-25,14,1
USA-LA-Webster Parish,2020-03-23,3,1
USA-LA-Webster Parish,2020-03-24,3,1
USA-LA-Webster Parish,2020-03-25,5,1
USA-LA-St. James Parish,2020-03-19,1,1
USA-LA-St. James Parish,2020-03-20,1,1
USA-LA-St. James Parish,2020-03-21,1,1
USA-LA-St. James Parish,2020-03-22,1,1
USA-LA-St. James Parish,2020-03-23,8,1
USA-LA-St. James Parish,2020-03-24,9,1
USA-LA-St. James Parish,2020-03-25,14,1
USA-LA-Rapides Parish,2020-03-23,8,1
USA-LA-Rapides Parish,2020-03-24,10,1
USA-LA-Rapides Parish,2020-03-25,14,1
USA-LA-Catahoula Parish,2020-03-20,1,1
USA-LA-Catahoula Parish,2020-03-21,1,1
USA-LA-Catahoula Parish,2020-03-22,1,1
USA-LA-Catahoula Parish,2020-03-23,1,1
USA-LA-Catahoula Parish,2020-03-24,1,1
USA-LA-Catahoula Parish,2020-03-25,1,1
USA-LA-Washington Parish,2020-03-23,2,1
USA-LA-Washington Parish,2020-03-24,3,1
USA-LA-Washington Parish,2020-03-25,4,1
USA-LA-East Baton Rouge Parish,2020-03-23,43,1
USA-LA-East Baton Rouge Parish,2020-03-24,58,2
USA-LA-East Baton Rouge Parish,2020-03-25,75,3
USA-LA-Bienville Parish,2020-03-25,1,1
USA-LA-Ouachita Parish,2020-03-23,9,1
USA-LA-Ouachita Parish,2020-03-24,7,1
USA-LA-Ouachita Parish,2020-03-25,10,1
USA-LA-West Baton Rouge Parish,2020-03-23,4,1
USA-LA-West Baton Rouge Parish,2020-03-24,5,1
USA-LA-West Baton Rouge Parish,2020-03-25,7,1
USA-LA-Ascension Parish,2020-03-23,26,1
USA-LA-Ascension Parish,2020-03-24,36,1
USA-LA-Ascension Parish,2020-03-25,65,1
USA-LA-(unassigned),2020-03-24,12,1
USA-LA-(unassigned),2020-03-25,11,1
USA-CA-San Bernardino County,2020-03-24,38,1
USA-CA-San Bernardino County,2020-03-25,54,2
USA-CA-San Joaquin County,2020-03-18,14,2
USA-CA-San Joaquin County,2020-03-19,15,2
USA-CA-San Joaquin County,2020-03-20,17,2
USA-CA-San Joaquin County,2020-03-21,29,2
USA-CA-San Joaquin County,2020-03-22,29,2
USA-CA-San Joaquin County,2020-03-23,51,2
USA-CA-San Joaquin County,2020-03-24,60,2
USA-CA-San Joaquin County,2020-03-25,71,3
USA-CA-Monterey County,2020-03-23,14,1
USA-CA-Monterey County,2020-03-24,20,1
USA-CA-Monterey County,2020-03-25,24,1
USA-CT-Tolland County,2020-03-22,14,2
USA-CT-Tolland County,2020-03-23,16,2
USA-CT-Tolland County,2020-03-24,19,3
USA-CT-Tolland County,2020-03-25,27,3
USA-KY-Anderson County,2020-03-21,2,1
USA-KY-Anderson County,2020-03-22,2,1
USA-KY-Anderson County,2020-03-23,2,1
USA-KY-Anderson County,2020-03-24,1,1
USA-KY-Anderson County,2020-03-25,1,1
USA-KY-Bourbon County,2020-03-21,2,1
USA-KY-Bourbon County,2020-03-22,2,1
USA-KY-Bourbon County,2020-03-23,2,1
USA-KY-Bourbon County,2020-03-24,2,1
USA-KY-Bourbon County,2020-03-25,2,1
USA-MI-Kent County,2020-03-22,20,1
USA-MI-Kent County,2020-03-23,28,1
USA-MI-Kent County,2020-03-24,31,1
USA-MI-Kent County,2020-03-25,36,1
USA-MI-Livingston County,2020-03-25,16,1
USA-MI-Macomb County,2020-03-22,140,1
USA-MI-Macomb County,2020-03-23,175,2
USA-MI-Macomb County,2020-03-24,225,3
USA-MI-Macomb County,2020-03-25,281,7
USA-MI-Washtenaw County,2020-03-24,50,3
USA-MI-Washtenaw County,2020-03-25,72,3
USA-SC-Lexington County,2020-03-21,12,1
USA-SC-Lexington County,2020-03-22,12,1
USA-SC-Lexington County,2020-03-23,17,1
USA-SC-Lexington County,2020-03-24,19,1
USA-SC-Lexington County,2020-03-25,19,1
USA-SC-Horry County,2020-03-24,19,1
USA-SC-Horry County,2020-03-25,19,1
USA-SC-Sumter County,2020-03-24,8,1
USA-SC-Sumter County,2020-03-25,8,1
USA-SC-Clarendon County,2020-03-23,4,1
USA-SC-Clarendon County,2020-03-24,5,1
USA-SC-Clarendon County,2020-03-25,5,1
USA-SC-Florence County,2020-03-21,1,1
USA-SC-Florence County,2020-03-22,1,1
USA-SC-Florence County,2020-03-23,3,1
USA-SC-Florence County,2020-03-24,5,2
USA-SC-Florence County,2020-03-25,5,2
USA-NM-Eddy County,2020-03-25,1,1
IND-Bihar,2020-03-22,2,1
IND-Bihar,2020-03-23,2,1
IND-Bihar,2020-03-24,3,1
IND-Bihar,2020-03-25,4,1
IND-Bihar,2020-03-26,6,1
IND-Delhi,2020-03-13,7,1
IND-Delhi,2020-03-14,7,1
IND-Delhi,2020-03-15,7,1
IND-Delhi,2020-03-16,7,1
IND-Delhi,2020-03-17,8,1
IND-Delhi,2020-03-18,10,1
IND-Delhi,2020-03-19,12,1
IND-Delhi,2020-03-20,17,1
IND-Delhi,2020-03-21,26,1
IND-Delhi,2020-03-22,29,1
IND-Delhi,2020-03-23,30,1
IND-Delhi,2020-03-24,30,1
IND-Delhi,2020-03-25,30,1
IND-Delhi,2020-03-26,36,1
IND-Gujarat,2020-03-22,18,1
IND-Gujarat,2020-03-23,29,1
IND-Gujarat,2020-03-24,32,1
IND-Gujarat,2020-03-25,37,1
IND-Gujarat,2020-03-26,43,3
IND-Himachal Pradesh,2020-03-23,3,1
IND-Himachal Pradesh,2020-03-24,3,1
IND-Himachal Pradesh,2020-03-25,3,1
IND-Himachal Pradesh,2020-03-26,3,1
IND-Karnataka,2020-03-13,6,1
IND-Karnataka,2020-03-14,6,1
IND-Karnataka,2020-03-15,6,1
IND-Karnataka,2020-03-16,6,1
IND-Karnataka,2020-03-17,11,1
IND-Karnataka,2020-03-18,11,1
IND-Karnataka,2020-03-19,14,1
IND-Karnataka,2020-03-20,15,1
IND-Karnataka,2020-03-21,15,1
IND-Karnataka,2020-03-22,26,1
IND-Karnataka,2020-03-23,37,1
IND-Karnataka,2020-03-24,41,1
IND-Karnataka,2020-03-25,41,1
IND-Karnataka,2020-03-26,55,2
IND-Madhya Pradesh,2020-03-26,20,1
IND-Maharashtra,2020-03-17,39,1
IND-Maharashtra,2020-03-18,42,1
IND-Maharashtra,2020-03-19,47,1
IND-Maharashtra,2020-03-20,52,1
IND-Maharashtra,2020-03-21,63,1
IND-Maharashtra,2020-03-22,67,2
IND-Maharashtra,2020-03-23,84,2
IND-Maharashtra,2020-03-24,98,2
IND-Maharashtra,2020-03-25,125,3
IND-Maharashtra,2020-03-26,124,3
IND-Punjab,2020-03-19,2,1
IND-Punjab,2020-03-20,2,1
IND-Punjab,2020-03-21,13,1
IND-Punjab,2020-03-22,21,1
IND-Punjab,2020-03-23,21,1
IND-Punjab,2020-03-24,29,1
IND-Punjab,2020-03-25,29,1
IND-Punjab,2020-03-26,33,1
IND-Tamil Nadu,2020-03-26,26,1
IND-West Bengal,2020-03-23,7,1
IND-West Bengal,2020-03-24,9,1
IND-West Bengal,2020-03-25,9,1
IND-West Bengal,2020-03-26,10,1
USA-AR-Pulaski County,2020-03-24,64,1
USA-AR-Pulaski County,2020-03-25,79,1
USA-AR-Cleburne County,2020-03-24,34,1
USA-AR-Cleburne County,2020-03-25,40,1
Hong Kong,2020-03-25,410,4
